delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.2,0.5,5.0,128,0.8966283482920946,256,0.0,False
0.2,0.5,5.0,256,0.8962304256602509,256,0.0,False
0.2,0.5,8.0,1,1.0400000000000025,256,0.0,False
0.2,0.5,8.0,2,0.9857385118478488,256,0.0,False
0.2,0.5,8.0,4,0.9633930552650858,256,0.0,False
0.2,0.5,8.0,8,0.9531074451634972,256,0.0,False
0.2,0.5,8.0,16,0.948159667807144,256,0.0,False
0.2,0.5,8.0,32,0.9457316945051903,256,0.0,False
0.2,0.5,8.0,64,0.9445288575999611,256,0.0,False
0.2,0.5,8.0,128,0.943930186940652,256,0.0,False
0.2,0.5,8.0,256,0.9436315336930988,256,0.0,False
0.2,0.5,12.0,1,1.0400000000000025,256,0.0,False
0.2,0.5,12.0,2,1.0035573227730998,256,0.0,False
0.2,0.5,12.0,4,0.9876037626035575,256,0.0,False
0.2,0.5,12.0,8,0.9800848718589144,256,0.0,False
0.2,0.5,12.0,16,0.9764295672617015,256,0.0,False
0.2,0.5,12.0,32,0.9746268084842384,256,0.0,False
0.2,0.5,12.0,64,0.9737315178673652,256,0.0,False
0.2,0.5,12.0,128,0.9732853783983008,256,0.0,False
0.2,0.5,12.0,256,0.9730626831076216,256,0.0,False
0.2,1.0,1.0,1,1.0399650466589954,4,0.17779456889146505,False
0.2,1.0,1.0,2,0.8745194636529219,4,0.17779456889146505,False
0.2,1.0,1.0,4,0.8584182238513667,4,0.17779456889146505,False
0.2,1.0,1.0,8,0.8585139575935422,4,0.17779456889146505,False
0.2,1.0,1.0,16,0.8591690624010597,4,0.17779456889146505,False
0.2,1.0,1.0,32,0.8595679367218109,4,0.17779456889146505,False
0.2,1.0,1.0,64,0.8597803222956024,4,0.17779456889146505,False
0.2,1.0,1.0,128,0.8598893048376663,4,0.17779456889146505,False
0.2,1.0,1.0,256,0.859944444831749,4,0.17779456889146505,False
0.2,1.0,2.0,1,1.040000000440273,256,0.0,False
0.2,1.0,2.0,2,0.91536313491923,256,0.0,False
0.2,1.0,2.0,4,0.8942188055352566,256,0.0,False
0.2,1.0,2.0,8,0.8884920090692862,256,0.0,False
0.2,1.0,2.0,16,0.8863006297721133,256,0.0,False
0.2,1.0,2.0,32,0.8853346387673976,256,0.0,False
0.2,1.0,2.0,64,0.8848805083940818,256,0.0,False
0.2,1.0,2.0,128,0.8846602701183419,256,0.0,False
0.2,1.0,2.0,256,0.8845518120210973,256,0.0,False
0.2,1.0,3.0,1,1.0399999999993046,256,0.0,False
0.2,1.0,3.0,2,0.9443078565909515,256,0.0,False
0.2,1.0,3.0,4,0.9231348228211724,256,0.0,False
0.2,1.0,3.0,8,0.9158596596841415,256,0.0,False
0.2,1.0,3.0,16,0.9127778205666296,256,0.0,False
0.2,1.0,3.0,32,0.91135349558163,256,0.0,False
0.2,1.0,3.0,64,0.9106681907637577,256,0.0,False
0.2,1.0,3.0,128,0.9103319916884591,256,0.0,False
0.2,1.0,3.0,256,0.9101654742752346,256,0.0,False
0.2,1.0,5.0,1,1.0400000000000027,256,0.0,False
